frame,tl_x,tl_y,tl_loss,tr_x,tr_y,tr_loss,bl_x,bl_y,bl_loss,br_x,br_y,br_loss,processing_time_ms
86,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
87,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
88,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
89,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
90,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
91,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
92,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
93,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
94,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
95,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
96,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
97,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
98,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
99,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
100,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
101,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
102,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
103,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
104,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
105,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
106,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
107,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
108,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
109,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
110,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
111,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,52
112,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
113,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
114,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,37
115,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,38
116,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
117,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
118,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
119,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
120,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
121,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
122,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
123,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
124,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
125,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
126,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
127,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
128,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
129,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
130,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
131,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
132,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
133,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
134,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
135,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
136,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
137,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
138,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
139,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
140,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
141,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
142,0,0,1.0000,1280,0,nan,0,720,nan,1280,720,nan,36
