Designator,Mid X,Mid Y,Rotation,Layer
R20,90.0,56.5,0.0,bottom
R21,97.500001,37.0,0.0,bottom
R22,97.5,43.0,0.0,bottom
R23,102.500001,22.0,0.0,bottom
R24,102.5,28.0,0.0,bottom
R25,105.500001,5.5,0.0,bottom
R26,105.5,11.5,0.0,bottom
R27,105.5,-5.5,0.0,bottom
R28,105.500001,-11.5,0.0,bottom
R29,102.5,-22.0,0.0,bottom
R3,12.0,65.0,270.0,bottom
R30,102.500001,-28.0,0.0,bottom
R31,97.5,-37.0,0.0,bottom
R32,97.500001,-43.0,0.0,bottom
R33,90.0,-50.5,0.0,bottom
R34,90.000001,-56.5,0.0,bottom
R35,74.0,-51.0,0.0,bottom
R36,74.000001,-57.0,0.0,bottom
R37,66.5,-58.5,0.0,bottom
R38,66.500001,-64.5,0.0,bottom
R39,59.0,-66.0,0.0,bottom
R4,6.0,65.0,270.0,bottom
R40,59.000001,-72.0,0.0,bottom
R41,51.5,-73.5,0.0,bottom
R42,51.500001,-79.5,0.0,bottom
R43,56.5,-90.0,90.0,bottom
R44,50.5,-90.000001,90.0,bottom
R45,43.0,-97.5,90.0,bottom
R46,37.0,-97.500001,90.0,bottom
R47,28.0,-102.5,90.0,bottom
R48,22.0,-102.500001,90.0,bottom
R49,12.0,-105.5,90.0,bottom
R5,28.0,71.0,270.0,bottom
R50,6.0,-105.500001,90.0,bottom
R51,-12.0,-105.5,90.0,bottom
R52,-6.0,-105.500001,90.0,bottom
R53,-28.0,-102.5,90.0,bottom
R54,-22.0,-102.500001,90.0,bottom
R55,-43.0,-97.5,90.0,bottom
R56,-37.0,-97.500001,90.0,bottom
R57,-56.5,-90.0,90.0,bottom
R58,-50.5,-90.000001,90.0,bottom
R59,-51.5,-73.5,180.0,bottom
R6,22.0,71.0,270.0,bottom
R60,-51.500001,-79.5,180.0,bottom
R61,-59.0,-66.0,180.0,bottom
R62,-59.000001,-72.0,180.0,bottom
R63,-66.5,-58.5,180.0,bottom
R64,-66.500001,-64.5,180.0,bottom
R65,-74.0,-51.0,180.0,bottom
R66,-74.000001,-57.0,180.0,bottom
R67,-90.0,-50.5,180.0,bottom
R68,-90.000001,-56.5,180.0,bottom
R69,-97.5,-37.0,180.0,bottom
R7,40.0,80.0,270.0,bottom
R70,-97.500001,-43.0,180.0,bottom
R71,-102.5,-22.0,180.0,bottom
R72,-102.500001,-28.0,180.0,bottom
R73,-105.5,-5.5,180.0,bottom
R74,-105.500001,-11.5,180.0,bottom
R75,-105.5,5.5,180.0,bottom
R76,-105.500001,11.5,180.0,bottom
R77,-102.5,22.0,180.0,bottom
R78,-102.500001,28.0,180.0,bottom
R79,-97.5,37.0,180.0,bottom
R8,34.0,80.0,270.0,bottom
R80,-97.500001,43.0,180.0,bottom
R81,-90.0,50.5,180.0,bottom
R82,-90.000001,56.5,180.0,bottom
R83,-74.0,51.0,180.0,bottom
R84,-74.000001,57.0,180.0,bottom
R85,-66.5,58.5,180.0,bottom
R86,-66.500001,64.5,180.0,bottom
R87,-59.0,66.0,180.0,bottom
R88,-59.000001,72.0,180.0,bottom
R89,-51.5,73.5,180.0,bottom
R9,54.0,91.5,270.0,bottom
R90,-51.500001,79.5,180.0,bottom
R91,-54.0,91.5,270.0,bottom
R92,-48.0,91.5,270.0,bottom
R93,-40.0,80.0,270.0,bottom
R94,-34.0,80.0,270.0,bottom
R95,-28.0,71.0,270.0,bottom
R96,-22.0,71.0,270.0,bottom
R97,-12.0,65.0,270.0,bottom
R98,-6.0,65.0,270.0,bottom
SW1,-16.51,-14.75,180.0,top
SW2,-12.25,-91.25,90.0,top
SW3,12.5,-91.25,270.0,top
