Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100nF,
C2,0805,1,4.7uF,
"C3, C4",0805,2,1u,
FPC1,FPC-SMD_8P-P1.00_DEALON_FC10-S08FCT-00,1,FC10-S08FCT-00,C2998898
LDO1,SOT-23_Handsoldering,1,XC6206P182MR-MS,C5252894
MOUSE1,PDIP-16_L16.2-W9.1-P1.78-TL_PMW3389DM-T3QU,1,PMW3360DM-T2QU,C20612443
R1,0805,1,10k,
R2,0805,1,39,
