1V8TP1:1
3V3TP1:1
5VTP1:1
BUCK1:1
C1:1
C10:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
DMUX1:1
DMUX2:1
FFC_US1:1
FFC_US10:1
FFC_US11:1
FFC_US12:1
FFC_US13:1
FFC_US14:1
FFC_US15:1
FFC_US16:1
FFC_US2:1
FFC_US3:1
FFC_US4:1
FFC_US5:1
FFC_US6:1
FFC_US7:1
FFC_US8:1
FFC_US9:1
FH1:1
GNDTP1:1
H1:1
H10:1
H11:1
H12:1
H13:1
H14:1
H15:1
H16:1
H17:1
H18:1
H19:1
H2:1
H20:1
H21:1
H22:1
H23:1
H24:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
H9:1
IMU1:1
IMU2:1
J1:1
JP1:1
JP2:1
JP3:1
JP4:1
JP5:1
JP6:1
LDO1:1
LDO2:1
LED1:1
LED10:1
LED11:1
LED12:1
LED13:1
LED14:1
LED15:1
LED16:1
LED2:1
LED3:1
LED4:1
LED5:1
LED6:1
LED7:1
LED8:1
LED9:1
LVL1:1
LVL2:1
LVL3:1
MCU1:1
MIC1:1
OLED1:1
PWR1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
SW1:1
SW2:1
SW3:1
VCCTP1:1
